DATE,INCREMENTAL AMOUNT PAID,AMOUNT PAID IN INTEREST,AMOUNT PAID TOWARDS PRINCIPLE,REMAINING LOAN BALANCE
2022-06-15,$0.00,$0.00,$0.00,"$15,000.00"
2022-07-15,$375.00,$75.00,$300.00,"$14,700.00"
2022-08-15,$750.00,$150.00,$600.00,"$14,400.00"
2022-09-15,"$1,125.00",$225.00,$900.00,"$14,100.00"
2022-10-15,"$1,500.00",$300.00,"$1,200.00","$13,800.00"
2022-11-15,"$1,875.00",$375.00,"$1,500.00","$13,500.00"
2022-12-15,"$2,250.00",$450.00,"$1,800.00","$13,200.00"
2023-01-15,"$2,625.00",$525.00,"$2,100.00","$12,900.00"
2023-02-15,"$3,000.00",$600.00,"$2,400.00","$12,600.00"
2023-03-15,"$3,375.00",$675.00,"$2,700.00","$12,300.00"
2023-04-15,"$3,750.00",$750.00,"$3,000.00","$12,000.00"
2023-05-15,"$4,125.00",$825.00,"$3,300.00","$11,700.00"
2023-06-15,"$4,500.00",$900.00,"$3,600.00","$11,400.00"
2023-07-15,"$4,875.00",$975.00,"$3,900.00","$11,100.00"
2023-08-15,"$5,250.00","$1,050.00","$4,200.00","$10,800.00"
2023-09-15,"$5,625.00","$1,125.00","$4,500.00","$10,500.00"
2023-10-15,"$6,000.00","$1,200.00","$4,800.00","$10,200.00"
2023-11-15,"$6,375.00","$1,275.00","$5,100.00","$9,900.00"
2023-12-15,"$6,750.00","$1,350.00","$5,400.00","$9,600.00"
2024-01-15,"$7,125.00","$1,425.00","$5,700.00","$9,300.00"
2024-02-15,"$7,500.00","$1,500.00","$6,000.00","$9,000.00"
2024-03-15,"$7,875.00","$1,575.00","$6,300.00","$8,700.00"
2024-04-15,"$8,250.00","$1,650.00","$6,600.00","$8,400.00"
2024-05-15,"$8,625.00","$1,725.00","$6,900.00","$8,100.00"
2024-06-15,"$9,000.00","$1,800.00","$7,200.00","$7,800.00"
2024-07-15,"$9,375.00","$1,875.00","$7,500.00","$7,500.00"
2024-08-15,"$9,750.00","$1,950.00","$7,800.00","$7,200.00"
2024-09-15,"$10,125.00","$2,025.00","$8,100.00","$6,900.00"
2024-10-15,"$10,500.00","$2,100.00","$8,400.00","$6,600.00"
2024-11-15,"$10,875.00","$2,175.00","$8,700.00","$6,300.00"
2024-12-15,"$11,250.00","$2,250.00","$9,000.00","$6,000.00"
2025-01-15,"$11,625.00","$2,325.00","$9,300.00","$5,700.00"
2025-02-15,"$12,000.00","$2,400.00","$9,600.00","$5,400.00"
2025-03-15,"$12,375.00","$2,475.00","$9,900.00","$5,100.00"
2025-04-15,"$12,750.00","$2,550.00","$10,200.00","$4,800.00"
2025-05-15,"$13,125.00","$2,625.00","$10,500.00","$4,500.00"
2025-06-15,"$13,500.00","$2,700.00","$10,800.00","$4,200.00"
2025-07-15,"$13,875.00","$2,775.00","$11,100.00","$3,900.00"
2025-08-15,"$14,250.00","$2,850.00","$11,400.00","$3,600.00"
2025-09-15,"$14,625.00","$2,925.00","$11,700.00","$3,300.00"
2025-10-15,"$15,000.00","$3,000.00","$12,000.00","$3,000.00"
2025-11-15,"$15,375.00","$3,075.00","$12,300.00","$2,700.00"
2025-12-15,"$15,750.00","$3,150.00","$12,600.00","$2,400.00"
2026-01-15,"$16,125.00","$3,225.00","$12,900.00","$2,100.00"
2026-02-15,"$16,500.00","$3,300.00","$13,200.00","$1,800.00"
2026-03-15,"$16,875.00","$3,375.00","$13,500.00","$1,500.00"
2026-04-15,"$17,250.00","$3,450.00","$13,800.00","$1,200.00"
2026-05-15,"$17,625.00","$3,525.00","$14,100.00",$900.00
2026-06-15,"$18,000.00","$3,600.00","$14,400.00",$600.00
2026-07-15,"$18,375.00","$3,675.00","$14,700.00",$300.00
2026-08-15,"$18,750.00","$3,750.00","$15,000.00",$0.00
