DATE,INCREMENTAL AMOUNT PAID,AMOUNT PAID IN INTEREST,AMOUNT PAID TOWARDS PRINCIPLE,REMAINING LOAN BALANCE
2021-05-12,$0.00,$0.00,$0.00,"$20,000.00"
2021-06-12,$500.00,$100.00,$400.00,"$19,600.00"
2021-07-12,"$1,000.00",$200.00,$800.00,"$19,200.00"
2021-08-12,"$1,500.00",$300.00,"$1,200.00","$18,800.00"
2021-09-12,"$2,000.00",$400.00,"$1,600.00","$18,400.00"
2021-10-12,"$2,500.00",$500.00,"$2,000.00","$18,000.00"
2021-11-12,"$3,000.00",$600.00,"$2,400.00","$17,600.00"
2021-12-12,"$3,500.00",$700.00,"$2,800.00","$17,200.00"
2022-01-12,"$4,000.00",$800.00,"$3,200.00","$16,800.00"
2022-02-12,"$4,500.00",$900.00,"$3,600.00","$16,400.00"
2022-03-12,"$5,000.00","$1,000.00","$4,000.00","$16,000.00"
2022-04-12,"$5,500.00","$1,100.00","$4,400.00","$15,600.00"
2022-05-12,"$6,000.00","$1,200.00","$4,800.00","$15,200.00"
2022-06-12,"$6,500.00","$1,300.00","$5,200.00","$14,800.00"
2022-07-12,"$7,000.00","$1,400.00","$5,600.00","$14,400.00"
2022-08-12,"$7,500.00","$1,500.00","$6,000.00","$14,000.00"
2022-09-12,"$8,000.00","$1,600.00","$6,400.00","$13,600.00"
2022-10-12,"$8,500.00","$1,700.00","$6,800.00","$13,200.00"
2022-11-12,"$9,000.00","$1,800.00","$7,200.00","$12,800.00"
2022-12-12,"$9,500.00","$1,900.00","$7,600.00","$12,400.00"
2023-01-12,"$10,000.00","$2,000.00","$8,000.00","$12,000.00"
2023-02-12,"$10,500.00","$2,100.00","$8,400.00","$11,600.00"
2023-03-12,"$11,000.00","$2,200.00","$8,800.00","$11,200.00"
2023-04-12,"$11,500.00","$2,300.00","$9,200.00","$10,800.00"
2023-05-12,"$12,000.00","$2,400.00","$9,600.00","$10,400.00"
2023-06-12,"$12,500.00","$2,500.00","$10,000.00","$10,000.00"
2023-07-12,"$13,000.00","$2,600.00","$10,400.00","$9,600.00"
2023-08-12,"$13,500.00","$2,700.00","$10,800.00","$9,200.00"
2023-09-12,"$14,000.00","$2,800.00","$11,200.00","$8,800.00"
2023-10-12,"$14,500.00","$2,900.00","$11,600.00","$8,400.00"
2023-11-12,"$15,000.00","$3,000.00","$12,000.00","$8,000.00"
2023-12-12,"$15,500.00","$3,100.00","$12,400.00","$7,600.00"
2024-01-12,"$16,000.00","$3,200.00","$12,800.00","$7,200.00"
2024-02-12,"$16,500.00","$3,300.00","$13,200.00","$6,800.00"
2024-03-12,"$17,000.00","$3,400.00","$13,600.00","$6,400.00"
2024-04-12,"$17,500.00","$3,500.00","$14,000.00","$6,000.00"
2024-05-12,"$18,000.00","$3,600.00","$14,400.00","$5,600.00"
2024-06-12,"$18,500.00","$3,700.00","$14,800.00","$5,200.00"
2024-07-12,"$19,000.00","$3,800.00","$15,200.00","$4,800.00"
2024-08-12,"$19,500.00","$3,900.00","$15,600.00","$4,400.00"
2024-09-12,"$20,000.00","$4,000.00","$16,000.00","$4,000.00"
2024-10-12,"$20,500.00","$4,100.00","$16,400.00","$3,600.00"
2024-11-12,"$21,000.00","$4,200.00","$16,800.00","$3,200.00"
2024-12-12,"$21,500.00","$4,300.00","$17,200.00","$2,800.00"
2025-01-12,"$22,000.00","$4,400.00","$17,600.00","$2,400.00"
2025-02-12,"$22,500.00","$4,500.00","$18,000.00","$2,000.00"
2025-03-12,"$23,000.00","$4,600.00","$18,400.00","$1,600.00"
2025-04-12,"$23,500.00","$4,700.00","$18,800.00","$1,200.00"
2025-05-12,"$24,000.00","$4,800.00","$19,200.00",$800.00
2025-06-12,"$24,500.00","$4,900.00","$19,600.00",$400.00
2025-07-12,"$25,000.00","$5,000.00","$20,000.00",$0.00
